id,posted_at,channel,stack,topic,urgency_signal,first_reply_minutes,replies_24h,resolved_by_thread,asker_context
56,2026-08-25 15:48,help-python,python,runtime error,,8,2,yes,unknown
57,2026-08-25 19:02,help-ai-agents,ai-agents,cost/latency,deploy today,,0,no,unknown
58,2026-08-25 20:07,help-python,python,runtime error,,94,1,yes,unknown
59,2026-08-25 20:13,help-node,node,auth/session,release tomorrow,165,4,partial,unknown
60,2026-08-26 01:01,help-python,python,runtime error,,,0,no,employed
61,2026-08-26 10:04,help-other,other,git mess,demo in 2h,266,4,yes,employed
62,2026-08-26 13:06,help-react,react,state/rendering bug,,,0,no,employed
63,2026-08-26 14:00,help-typescript,typescript,runtime error,,68,2,yes,freelance
64,2026-08-26 14:37,help-typescript,typescript,runtime error,,19,5,partial,student
65,2026-08-26 14:58,help-typescript,typescript,library upgrade,deploy today,92,1,yes,employed
66,2026-08-26 16:31,help-node,node,auth/session,,22,2,partial,employed
67,2026-08-26 18:02,help-other,other,ci pipeline,deploy today,25,4,partial,employed
68,2026-08-27 10:42,help-ai-agents,ai-agents,context/prompt issue,,111,2,yes,unknown
69,2026-08-27 11:46,help-ai-agents,ai-agents,context/prompt issue,,66,3,no,employed
70,2026-08-27 12:04,help-react,react,testing,,24,4,no,unknown
71,2026-08-27 12:29,help-typescript,typescript,types/generics error,prod is down,108,5,no,unknown
72,2026-08-27 13:51,help-typescript,typescript,runtime error,,815,2,no,employed
73,2026-08-27 15:30,help-typescript,typescript,library upgrade,,799,2,unknown,employed
74,2026-08-27 15:35,help-typescript,typescript,testing,,106,1,partial,student
75,2026-08-27 16:27,help-other,other,kubernetes/helm,,394,6,partial,unknown
76,2026-08-27 16:38,help-typescript,typescript,testing,deadline mentioned,63,1,no,employed
77,2026-08-27 19:13,help-other,other,git mess,deploy today,,0,no,student
78,2026-08-27 21:09,help-python,python,packaging/deps,,,0,no,unknown
79,2026-08-28 10:23,help-other,other,docker,,21,4,partial,employed
80,2026-08-28 10:51,help-typescript,typescript,library upgrade,prod is down,9,2,no,unknown
81,2026-08-28 10:53,help-typescript,typescript,library upgrade,demo in 2h,,0,no,unknown
82,2026-08-28 12:11,help-typescript,typescript,testing,prod is down,237,3,unknown,student
83,2026-08-28 12:40,help-react,react,state/rendering bug,,76,5,yes,student
84,2026-08-28 15:47,help-node,node,auth/session,deadline mentioned,233,1,yes,freelance
85,2026-08-28 16:23,help-typescript,typescript,build/tsconfig,,85,3,partial,unknown
86,2026-08-28 16:31,help-typescript,typescript,types/generics error,release tomorrow,15,1,no,unknown
87,2026-08-28 17:32,help-ai-agents,ai-agents,agent config not applied,,380,1,unknown,employed
88,2026-08-28 19:08,help-python,python,runtime error,,,0,no,freelance
89,2026-08-28 20:55,help-other,other,ci pipeline,,11,6,yes,student
90,2026-08-28 23:08,help-python,python,async/concurrency,,85,1,yes,employed
91,2026-08-29 09:00,help-typescript,typescript,runtime error,,1250,4,partial,freelance
92,2026-08-29 11:37,help-python,python,runtime error,,,0,no,unknown
93,2026-08-29 15:05,help-ai-agents,ai-agents,tool calling fails,,23,4,no,freelance
94,2026-08-29 16:38,help-other,other,docker,,,0,no,employed
95,2026-08-30 07:34,help-react,react,routing,,,0,no,unknown
96,2026-08-30 08:07,help-ai-agents,ai-agents,eval/testing,,26,1,yes,employed
97,2026-08-30 09:04,help-python,python,packaging/deps,,5,5,no,student
98,2026-08-30 11:14,help-typescript,typescript,testing,,39,4,yes,unknown
99,2026-08-30 11:33,help-ai-agents,ai-agents,cost/latency,,,0,no,employed
100,2026-08-30 20:19,help-ai-agents,ai-agents,eval/testing,,24,6,yes,freelance
101,2026-08-31 07:57,help-python,python,runtime error,,,0,no,unknown
102,2026-08-31 13:07,help-python,python,runtime error,,15,2,no,freelance
103,2026-08-31 13:15,help-python,python,runtime error,,582,1,yes,employed
104,2026-08-31 13:23,help-react,react,routing,,1200,2,partial,freelance
105,2026-08-31 13:44,help-other,other,kubernetes/helm,,16,1,partial,unknown
106,2026-08-31 17:01,help-ai-agents,ai-agents,agent config not applied,,,0,no,unknown
107,2026-08-31 17:12,help-react,react,state/rendering bug,,335,3,unknown,freelance
108,2026-08-31 18:21,help-typescript,typescript,build/tsconfig,,106,2,partial,unknown
109,2026-08-31 21:36,help-ai-agents,ai-agents,eval/testing,deadline mentioned,41,1,partial,freelance
